Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Country Code
TCL,Crops and livestock products,100,Bulgaria,5908,Export Quantity,2111,Cattle,2013,2013,Head,28464,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5908,Export Quantity,2111,Cattle,2014,2014,Head,10171,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5908,Export Quantity,2111,Cattle,2015,2015,Head,15572,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5908,Export Quantity,2111,Cattle,2016,2016,Head,27724,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5908,Export Quantity,2111,Cattle,2017,2017,Head,40821,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5908,Export Quantity,2111,Cattle,2018,2018,Head,32195,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5908,Export Quantity,2111,Cattle,2019,2019,Head,39476,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5908,Export Quantity,2111,Cattle,2020,2020,Head,36527,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5908,Export Quantity,2111,Cattle,2021,2021,Head,42468,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5922,Export Value,2111,Cattle,2006,2006,1000 US$,20065,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5922,Export Value,2111,Cattle,2007,2007,1000 US$,24663,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5922,Export Value,2111,Cattle,2008,2008,1000 US$,24290,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5922,Export Value,2111,Cattle,2009,2009,1000 US$,19336,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5922,Export Value,2111,Cattle,2010,2010,1000 US$,15533,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5922,Export Value,2111,Cattle,2011,2011,1000 US$,10587,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5922,Export Value,2111,Cattle,2012,2012,1000 US$,10199,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5922,Export Value,2111,Cattle,2013,2013,1000 US$,9706,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5922,Export Value,2111,Cattle,2014,2014,1000 US$,4690,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5922,Export Value,2111,Cattle,2015,2015,1000 US$,13564,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5922,Export Value,2111,Cattle,2016,2016,1000 US$,33270,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5922,Export Value,2111,Cattle,2017,2017,1000 US$,54983,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5922,Export Value,2111,Cattle,2018,2018,1000 US$,29524,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5922,Export Value,2111,Cattle,2019,2019,1000 US$,27951,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5922,Export Value,2111,Cattle,2020,2020,1000 US$,28803,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5922,Export Value,2111,Cattle,2021,2021,1000 US$,30832,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5908,Export Quantity,2122,Sheep,2006,2006,Head,21775,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5908,Export Quantity,2122,Sheep,2007,2007,Head,43609,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5908,Export Quantity,2122,Sheep,2008,2008,Head,13336,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5908,Export Quantity,2122,Sheep,2009,2009,Head,20014,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5908,Export Quantity,2122,Sheep,2010,2010,Head,208150,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5908,Export Quantity,2122,Sheep,2011,2011,Head,777293,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5908,Export Quantity,2122,Sheep,2012,2012,Head,107223,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5908,Export Quantity,2122,Sheep,2013,2013,Head,23705,A,Official figure,BG
