Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Country Code
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2111,Cattle,2017,2017,1000 US$,20181,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2111,Cattle,2018,2018,1000 US$,12046,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2111,Cattle,2019,2019,1000 US$,6730,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2111,Cattle,2020,2020,1000 US$,4138,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2111,Cattle,2021,2021,1000 US$,4632,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2122,Sheep,2006,2006,Head,365372,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2122,Sheep,2007,2007,Head,517751,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2122,Sheep,2008,2008,Head,442015,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2122,Sheep,2009,2009,Head,288836,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2122,Sheep,2010,2010,Head,330431,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2122,Sheep,2011,2011,Head,766695,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2122,Sheep,2012,2012,Head,156586,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2122,Sheep,2013,2013,Head,113345,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2122,Sheep,2014,2014,Head,161905,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2122,Sheep,2015,2015,Head,172877,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2122,Sheep,2016,2016,Head,82494,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2122,Sheep,2017,2017,Head,157975,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2122,Sheep,2018,2018,Head,169414,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2122,Sheep,2019,2019,Head,135883,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2122,Sheep,2020,2020,Head,71141,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2122,Sheep,2021,2021,Head,80659,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2122,Sheep,2006,2006,1000 US$,24403,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2122,Sheep,2007,2007,1000 US$,29378,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2122,Sheep,2008,2008,1000 US$,32683,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2122,Sheep,2009,2009,1000 US$,24689,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2122,Sheep,2010,2010,1000 US$,32209,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2122,Sheep,2011,2011,1000 US$,79113,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2122,Sheep,2012,2012,1000 US$,15584,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2122,Sheep,2013,2013,1000 US$,11439,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2122,Sheep,2014,2014,1000 US$,13657,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2122,Sheep,2015,2015,1000 US$,11960,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2122,Sheep,2016,2016,1000 US$,5439,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2122,Sheep,2017,2017,1000 US$,10664,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2122,Sheep,2018,2018,1000 US$,10947,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2122,Sheep,2019,2019,1000 US$,9837,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2122,Sheep,2020,2020,1000 US$,6883,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2122,Sheep,2021,2021,1000 US$,9349,A,Official figure,BG
TCL,Crops and livestock products,191,Croatia,5608,Import Quantity,2111,Cattle,2006,2006,Head,162288,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5608,Import Quantity,2111,Cattle,2007,2007,Head,144750,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5608,Import Quantity,2111,Cattle,2008,2008,Head,155515,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5608,Import Quantity,2111,Cattle,2009,2009,Head,138672,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5608,Import Quantity,2111,Cattle,2010,2010,Head,140123,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5608,Import Quantity,2111,Cattle,2011,2011,Head,151900,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5608,Import Quantity,2111,Cattle,2012,2012,Head,120056,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5608,Import Quantity,2111,Cattle,2013,2013,Head,212807,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5608,Import Quantity,2111,Cattle,2014,2014,Head,94097,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5608,Import Quantity,2111,Cattle,2015,2015,Head,116969,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5608,Import Quantity,2111,Cattle,2016,2016,Head,115823,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5608,Import Quantity,2111,Cattle,2017,2017,Head,137463,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5608,Import Quantity,2111,Cattle,2018,2018,Head,133371,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5608,Import Quantity,2111,Cattle,2019,2019,Head,147348,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5608,Import Quantity,2111,Cattle,2020,2020,Head,141667,A,Official figure,HR
